Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172342	0.16544	0.00690153	1.83449e-07	0.767359	0.736629	0.0307293	8.16813e-07	1.25695e-07	5.59662e-07	
2	0.0905272	0.0832814	0.00723064	1.51658e-05	0.403075	0.370813	0.0321947	6.75263e-05	1.51081e-05	6.72696e-05	
3	0.0994268	0.0815875	0.0178095	2.97776e-05	0.442701	0.363271	0.0792976	0.000132586	6.31985e-05	0.000281394	
4	0.057275	0.057275	0	0	0.255019	0.255019	0	0	0	0	
5	0.110715	0.105983	0.00473056	1.73294e-06	0.492965	0.471894	0.021063	7.71598e-06	2.0013e-06	8.91089e-06	
6	0.0903623	0.0892686	0.00109363	1.72487e-07	0.402341	0.397471	0.00486943	7.68008e-07	1.14665e-07	5.10554e-07	
7	0.086914	0.0859785	0.000935484	0	0.386987	0.382822	0.00416527	0	0	0	
8	0.123131	0.102749	0.0203821	0	0.548246	0.457494	0.0907521	0	0	0	
9	0.0870829	0.0864066	0.000675727	5.66264e-07	0.38774	0.384729	0.0030087	2.52131e-06	5.0844e-07	2.26385e-06	
10	0.0598526	0.059195	0.000657572	0	0.266496	0.263568	0.00292786	0	0	0	
11	0.0852805	0.0790112	0.00626929	0	0.379714	0.3518	0.0279142	0	0	0	
12	0.095024	0.0943582	0.00066483	1.08661e-06	0.423098	0.420133	0.00296018	4.83819e-06	1.02879e-06	4.58074e-06	
13	0.102947	0.102947	0	0	0.458377	0.458377	0	0	0	0	
14	0.0833758	0.0833758	0	0	0.371234	0.371234	0	0	0	0	
15	0.0946505	0.0926905	0.00195871	1.34903e-06	0.421435	0.412708	0.00872123	6.00665e-06	1.29126e-06	5.74941e-06	
16	0.073261	0.073261	0	0	0.326197	0.326197	0	0	0	0	
17	0.0864628	0.0844671	0.00199562	0	0.384979	0.376093	0.00888558	0	0	0	
18	0.0729357	0.0721319	0.000801543	2.27769e-06	0.324749	0.32117	0.0035689	1.01415e-05	2.22219e-06	9.89438e-06	
19	0.0872719	0.0842803	0.00298993	1.71083e-06	0.388581	0.375261	0.0133127	7.61754e-06	1.65308e-06	7.36042e-06	
20	0.059106	0.059106	0	0	0.263171	0.263171	0	0	0	0	
21	0.083677	0.0817291	0.00194689	9.97008e-07	0.372575	0.363902	0.00866862	4.43921e-06	1.19701e-06	5.32976e-06	
