Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.173578	0.165561	0.00801614	1.02961e-07	0.772296	0.736629	0.035666	4.58104e-07	9.42341e-08	4.19273e-07	
2	0.0921457	0.0833425	0.00876654	3.67027e-05	0.409981	0.370813	0.0390047	0.0001633	3.66824e-05	0.00016321	
3	0.0928473	0.0816474	0.0111978	2.16056e-06	0.413103	0.363271	0.049822	9.61295e-06	4.23553e-06	1.8845e-05	
4	0.057317	0.057317	0	0	0.255019	0.255019	0	0	0	0	
5	0.1143	0.106061	0.00823806	1.36033e-06	0.508554	0.471894	0.0366534	6.05252e-06	2.29833e-06	1.02259e-05	
6	0.0913646	0.0893341	0.00202138	9.20079e-06	0.406506	0.397471	0.00899369	4.09368e-05	9.2277e-06	4.10565e-05	
7	0.0864688	0.0860415	0.000427286	0	0.384723	0.382822	0.00190111	0	0	0	
8	0.121465	0.102824	0.0186407	0	0.540432	0.457494	0.0829378	0	0	0	
9	0.0886841	0.08647	0.00221388	1.87237e-07	0.39458	0.384729	0.00985019	8.3307e-07	1.71485e-07	7.62986e-07	
10	0.060368	0.0592384	0.00112646	3.11656e-06	0.268593	0.263568	0.00501195	1.38664e-05	3.18348e-06	1.41642e-05	
11	0.0846611	0.0790692	0.00559194	0	0.37668	0.3518	0.0248801	0	0	0	
12	0.0974877	0.0944274	0.00305276	7.54228e-06	0.433749	0.420133	0.0135826	3.35576e-05	8.08529e-06	3.59736e-05	
13	0.103022	0.103022	0	0	0.458377	0.458377	0	0	0	0	
14	0.0836958	0.083437	0.000258812	0	0.372385	0.371234	0.00115152	0	0	0	
15	0.0943386	0.0927584	0.00157827	1.89309e-06	0.419738	0.412708	0.00702218	8.42291e-06	1.87279e-06	8.33255e-06	
16	0.0733147	0.0733147	0	0	0.326197	0.326197	0	0	0	0	
17	0.0861444	0.0845291	0.00161527	0	0.38328	0.376093	0.00718679	0	0	0	
18	0.0734884	0.0721849	0.00129803	5.54019e-06	0.32697	0.32117	0.00577529	2.46498e-05	5.51987e-06	2.45594e-05	
19	0.0870099	0.0843422	0.00266759	1.86546e-07	0.387131	0.375261	0.0118688	8.29994e-07	9.97148e-07	4.43658e-06	
20	0.0591493	0.0591494	0	0	0.263171	0.263171	0	0	0	0	
21	0.0837301	0.0817891	0.00193559	5.42641e-06	0.372538	0.363902	0.00861198	2.41436e-05	5.6403e-06	2.50952e-05	
22	0.0895639	0.0876124	0.00195049	1.04694e-06	0.398494	0.389811	0.00867828	4.65815e-06	1.02663e-06	4.56779e-06	
23	0.0986468	0.0950092	0.00361557	2.21034e-05	0.438907	0.422722	0.0160867	9.83442e-05	2.22538e-05	9.90135e-05	
24	0.0670124	0.0651232	0.00188923	0	0.298156	0.289751	0.00840571	0	0	0	
25	0.124373	0.11559	0.00868031	0.000102766	0.55337	0.514291	0.0386211	0.000457237	0.000102747	0.000457151	
26	0.0859292	0.0843251	0.00160409	0	0.382322	0.375185	0.00713708	0	0	0	
27	0.083675	0.0762733	0.00728637	0.000115315	0.372293	0.339361	0.032419	0.000513071	0.000123582	0.000549852	
28	0.0651023	0.0621458	0.00295643	0	0.289658	0.276504	0.0131539	0	0	0	
29	0.106752	0.101326	0.00542327	2.34648e-06	0.474969	0.450829	0.0241296	1.04401e-05	3.17556e-06	1.41289e-05	
30	0.168741	0.148921	0.0197291	9.06928e-05	0.750775	0.662592	0.0877802	0.000403517	9.70721e-05	0.0004319	
31	0.143416	0.138488	0.00492688	1.22778e-06	0.6381	0.616173	0.021921	5.46275e-06	1.20735e-06	5.37185e-06	
32	0.144971	0.138952	0.00601901	4.73777e-07	0.645018	0.618236	0.0267802	2.10796e-06	4.5428e-07	2.02121e-06	
33	0.0780772	0.0766886	0.00138856	0	0.347387	0.341209	0.00617809	0	0	0	
34	0.107508	0.0972073	0.0103007	0	0.478333	0.432502	0.045831	0	0	0	
35	0.0744097	0.0609979	0.0133313	8.04796e-05	0.331069	0.271396	0.0593147	0.000358076	8.40774e-05	0.000374083	
36	0.0832128	0.081205	0.00200777	0	0.370236	0.361303	0.00893315	0	0	0	
37	0.169346	0.0950377	0.0743092	0	0.753471	0.422848	0.330622	0	0	0	
38	0.0805248	0.0784607	0.00206406	6.60592e-08	0.358277	0.349093	0.00918361	2.93915e-07	1.09788e-07	4.88477e-07	
39	0.0887113	0.0839492	0.00475665	5.49261e-06	0.394701	0.373513	0.0211636	2.44381e-05	5.58084e-06	2.48307e-05	
40	0.102592	0.10101	0.00158052	1.16021e-06	0.456461	0.449424	0.00703218	5.16211e-06	1.16025e-06	5.16229e-06	
41	0.0993809	0.0959826	0.00339833	0	0.442173	0.427053	0.0151201	0	0	0	
42	0.0767601	0.0739791	0.002781	0	0.341527	0.329153	0.0123734	0	0	0	
43	0.0602334	0.0553629	0.00487045	0	0.267995	0.246325	0.0216699	0	0	0	
44	0.064933	0.0646381	0.000294972	0	0.288905	0.287592	0.00131241	0	0	0	
45	0.0573614	0.0521692	0.00519213	0	0.255216	0.232115	0.0231012	0	0	0	
46	0.0920917	0.0851731	0.00690306	1.55323e-05	0.409741	0.378958	0.0307136	6.91074e-05	1.81867e-05	8.09179e-05	
47	0.135958	0.134923	0.00103508	0	0.604917	0.600312	0.00460539	0	0	0	
48	0.10904	0.0850771	0.0239629	4.68433e-08	0.485149	0.378531	0.106617	2.08418e-07	8.75662e-08	3.89606e-07	
49	0.164695	0.158458	0.00623593	1.17552e-06	0.732775	0.705025	0.0277453	5.23024e-06	2.41505e-06	1.07452e-05	
50	0.103119	0.0953238	0.00779102	4.5087e-06	0.458806	0.424122	0.0346644	2.00604e-05	5.33988e-06	2.37586e-05	
51	0.0857126	0.0847196	0.000992951	0	0.381358	0.376941	0.00441791	0	0	0	
52	0.0792185	0.0762826	0.00293591	0	0.352465	0.339402	0.0130627	0	0	0	
53	0.0980107	0.095025	0.0029804	5.3496e-06	0.436076	0.422792	0.0132606	2.38018e-05	7.56081e-06	3.36401e-05	
